name,component,carrier,bus0,bus1,r,x,b,s_nom,x_pu_eff,r_pu_eff,v_nom
582,line,AC,ECCL3-,ECCL4C,0.0001,0.575,0.0001,2771.0,3.981994459833794e-06,6.925207756232687e-10,380.0
583,line,AC,ECCL3-,TORN1-,0.0447,0.6543,67.6758,2330.0,4.531163434903047e-06,3.0955678670360106e-07,380.0
584,line,AC,ECCL3-,ECCL4D,0.0001,0.575,0.0001,2771.0,3.981994459833794e-06,6.925207756232687e-10,380.0
585,line,AC,ECCL3-,TORN1-,0.0447,0.6543,67.6758,2330.0,4.531163434903047e-06,3.0955678670360106e-07,380.0
586,line,AC,ECCL4C,STWB4Q,0.0063,0.1209,5.1175,2770.0,8.372576177285318e-07,4.362880886426593e-08,380.0
587,line,AC,ECCL4D,STWB4R,0.0063,0.1209,5.1175,2770.0,8.372576177285318e-07,4.362880886426593e-08,380.0
588,line,AC,EERH3-,LOAN2-,0.1034,1.6072,14.6747,1500.0,1.1130193905817174e-05,7.160664819944599e-07,380.0
589,line,AC,EERH3-,NEAR3-,0.077,0.632,4.283,950.0,4.376731301939058e-06,5.332409972299169e-07,380.0
590,line,AC,EKIL2Q,EKIL3-,0.0138,0.1834,1.6594,865.0,1.2700831024930749e-06,9.556786703601108e-08,380.0
591,line,AC,EKIL2Q,STHA3-,0.0216,0.2038,1.2722,1050.0,1.4113573407202217e-06,1.4958448753462604e-07,380.0
592,line,AC,EKIL2R,EKIL3-,0.0141,0.186,2.1213,480.0,1.2880886426592797e-06,9.764542936288089e-08,380.0
593,line,AC,EKIL2R,STHA3-,0.0216,0.2038,1.2722,1050.0,1.4113573407202217e-06,1.4958448753462604e-07,380.0
594,line,AC,EKIS3A,NEIL1-,0.1251,1.2082,8.2207,1110.0,8.367036011080333e-06,8.663434903047091e-07,380.0
595,line,AC,EKIS3A,STHA3-,0.0245,0.2366,1.614,1050.0,1.6385041551246538e-06,1.6966759002770084e-07,380.0
596,line,AC,EKIS3A,WLEE3A,0.034,0.101,25.635,378.0,6.994459833795014e-07,2.3545706371191137e-07,380.0
597,line,AC,EKIS3A,WLEX3A,0.088,0.346,70.948,340.0,2.3961218836565095e-06,6.094182825484765e-07,380.0
598,line,AC,ELDE3-,JOHN3-,0.1229,0.4314,4.832,149.0,2.987534626038781e-06,8.511080332409972e-07,380.0
599,line,AC,ELDE3-,NEIL1-,0.1517,0.8271,0.4569,229.0,5.727839335180055e-06,1.0505540166204986e-06,380.0
