Line,component,carrier,bus0,bus1,r,x,b,s_nom,type,g,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,capital_cost,build_year,lifetime,length,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
100,line,AC,CHAR1S,GLAG1Q,0.1697,0.3805,1.708,126.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,line,AC,CHAR1S,LYND1Q,0.2,0.45,0.1,126.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,line,AC,CHAR1T,GLAG1R,0.1697,0.3805,1.708,126.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,line,AC,CHAR1T,LYND1R,0.2,0.45,0.1,126.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,line,AC,CLAC1Q,INVE1J,0.85,1.95,0.41,126.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,line,AC,CLAC1Q,SLOY1F,1.3183,3.0212,0.641,132.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,line,AC,CLAY1Q,REDM1Q,0.19,0.28,9.82,120.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,line,AC,CLAY1Q,WIOW1Q,0.0474,0.1253,2.897,155.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,line,AC,CLAY1R,REDM1R,0.19,0.28,9.82,120.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,line,AC,CLAY1R,WIOW1R,0.0474,0.1253,2.897,155.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,line,AC,CLUN1Q,CLUN1S,0.01,0.01,0.0,126.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,line,AC,CLUN1R,CLUN1T,0.01,0.01,0.0,126.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,line,AC,CLUN1S,COUA1Q,1.9301,8.5468,1.966,241.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,line,AC,CLUN1S,ERRO1K,1.406,3.58,0.764,126.0,,0.0,0.0,False,0.0,inf,1.0,0.0,0,inf,0.0,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
